message,target
No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,1
Yeah get the unlimited,0
Well good morning mr . Hows london treatin' ya treacle?,0
What to think no one saying clearly. Ok leave no need to ask her. I will go if she come or not,0
A lot of this sickness thing going round. Take it easy. Hope u feel better soon. Lol,0
Wow so healthy. Old airport rd lor. Cant thk of anything else. But i'll b bathing my dog later.,0
"Dear Sir,Salam Alaikkum.Pride and Pleasure meeting you today at the Tea Shop.We are pleased to send you our contact number at Qatar.Rakhesh an Indian.Pls save our Number.Respectful Regards.",0
Oh god i am happy to see your message after 3 days,0
Nvm... I'm going to wear my sport shoes anyway... I'm going to be late leh.,0
Hey gals.. Anyone of u going down to e driving centre tmr?,0
Good afternoon starshine! How's my boytoy? Does he crave me yet? Ache to fuck me ? *sips cappuccino* I miss you babe *teasing kiss*,0
Happy birthday... May u find ur prince charming soon n dun work too hard...,0
Shuhui has bought ron's present it's a swatch watch...,0
YOU ARE CHOSEN TO RECEIVE A £350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.,1
"K, I'll work something out",0
PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,1
Yes..gauti and sehwag out of odi series.,0
Oh all have to come ah?,0
This is my number by vivek..,0
Guessin you ain't gonna be here before 9?,0
Happy birthday to you....dear.with lots of love.rakhesh NRI,0
That means from february to april i'll be getting a place to stay down there so i don't have to hustle back and forth during audition season as i have since my sister moved away from harlem.,0
She doesnt need any test.,0
Dont gimme that lip caveboy,0
Is there any movie theatre i can go to and watch unlimited movies and just pay once?,0
I got your back! Do you have any dislikes in bed?,0
It only does simple arithmetic not percentages.,0
"And that is the problem. You walk around in ""julianaland"" oblivious to what is going on around you. I say the same things constantly and they go in one ear and out the other while you go off doing whatever you want to do. It's not that you don't know why I'm upset--it's that you don't listen when i tell you WHAT is going to upset me. Then you want to be surprised when I'm mad.",0
No probs hon! How u doinat the mo?,0
My uncles in Atlanta. Wish you guys a great semester.,0
Yes princess! I want to please you every night. Your wish is my command...,0
You didnt complete your gist oh.,0
I always chat with you. In fact i need money can you raise me?,0
This weekend is fine (an excuse not to do too much decorating),0
I am late. I will be there at,0
"Total disappointment, when I texted you was the craziest shit got :(",0
Hmm ill have to think about it... ok you're forgiven! =D,0
"Whatever, juliana. Do whatever you want.",0
Left dessert. U wan me 2 go suntec look 4 u?,0
"Cool, what time you think you can get here?",0
Only saturday and sunday holiday so its very difficult:),0
Well i know Z will take care of me. So no worries.,0
"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",0
"Today's Offer! Claim ur £150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. £3.00 Sub. 16 . Unsub reply X",1
Yeah imma come over cause jay wants to do some drugs,0
"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327",1
Yeah but which is worse for i,0
PRIVATE! Your 2003 Account Statement for <fone no> shows 800 un-redeemed S. I. M. points. Call 08715203656 Identifier Code: 42049 Expires 26/10/04,1
Please sen :)my kind advice :-)please come here and try:-),0
You have an important customer service announcement from PREMIER. Call FREEPHONE 0800 542 0578 now!,1
Remember on that day..,0
Aight ill get on fb in a couple minutes,0
"Solve d Case : A Man Was Found Murdered On  &lt;DECIMAL&gt; . &lt;#&gt;  AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant.",0
I see the letter B on my car,0
I just cooked a rather nice salmon a la you,0
Yeah jay's sort of a fucking retard,0
Quite lor. But dun tell him wait he get complacent...,0
Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,1
"I wasn't well babe, i have swollen glands at my throat ... What did you end up doing ?",0
"URGENT! Your mobile No 077xxx WON a £2,000 Bonus Caller Prize on 02/06/03! This is the 2nd attempt to reach YOU! Call 09066362206 ASAP! BOX97N7QP, 150ppm",1
